JPN TIDLow,USA TIDLow,EUR TIDLow,CHN TIDLow,KOR TIDLow,TWN TIDLow,Product code,Description,JPN Versions,EUR Versions,USA Versions,CHN Versions,KOR Versions,TWN Versions,Status
0000C002,0000C802,0000D002,0000D802,0000DE02,0000E402,CTR-N-HKY?,Software Keyboard (swkbd),"v0, v1026, v2053, v3072, v4096(Also for 8.1.0-0_New3DS)",,,,,,
0000C003,0000C803,0000D003,0000D803,0000DE03,0000E403,,SAFE_MODE Software Keyboard (swkbd),v0,,,,,,
2000C003,2000C803,2000D003,?,2000DE03,N/A,,New 3DSSAFE_MODE Software Keyboard (swkbd),v1024,v0,,,,,
0000C102,0000C902,0000D102,0000D902,0000DF02,0000E502,CTR-N-HMS?,Mii picker (appletEd),"v0, v1026, v2048(Also for 8.1.0-0_New3DS), v3077",,,,,,
0000C302,0000CB02,0000D302,0000DB02,0000E102,0000E702,CTR-N-HCC?,Picture picker (PNOTE_AP),"v0, v1024, v2049(8.1.0-0_New3DS), v3075, v4096",,,,,,
0000C402,0000CC02,0000D402,0000DC02,0000E202,0000E802,CTR-N-HMC?,Voice memopicker (SNOTE_AP),"v0, v3, v1026, v2048(Also for 8.1.0-0_New3DS)",,,,,,
0000C502,,,0000CF02,,,CTR-N-HEEACTR-N-HEEK,"Non-critical (online, etc) error display (error)","v0, v1026, v2053, v3074, v4096(8.1.0-0_New3DS), v5128, v6145",,,,,,
0000C503,,,0000CF03,,,,SAFE_MODE error applet,v0,,,,,,
2000C503,2000C503,2000C503,?,2000CF03,N/A,,New 3DSSAFE_MODE error applet,v1024,,,,,,
0000CD02,,,0000D502,,,CTR-N-HADACTR-N-HADK,Circle Pad Protest/calibration applet (extrapad),"v1, v1026, v2048(8.1.0-0_New3DS), v3073, v4097(New2DSXL), v4097",,,,,,
0000C602,0000CE02,0000D602,N/A,0000E302,0000E902,CTR-N-HAA?,"eShop applet, used by applications for accessing the eShop, for DLC/etc. Also used by the eShop application itself. (mint)","v5, v1028, v2050, v3072, v4109, v5125(v5123 for JPN), v6145, v7168(8.1.0-0_New3DS), v8200, v9224, v10247, v11264, v12293, v13312, v14337, v15360, v16384, v17408(EUR), v18432, v19457",,,,,,
0000BC02,0000BD02,0000BE02,?,N/A,?,CTR-N-HAE?,Miiverse (olv),"v14, v1024, v2048(Also for 8.1.0-0_New3DS), v3072, v4096",,,,,,
0000F602,,,?,N/A,?,CTR-N-HAGA,"Likely the ""system library"" for Miiverse (memolib)","v5, v1024(8.1.0-0_New3DS), v2050, v3072",,,,,,
00008302,00008B02,0000BA02,?,N/A,?,CTR-N-HAH?,In-app Miiverse-posting applet (solv3),v6,,,,,,
00009502,00009E02,0000B902,?,00008C02,0000BF02,CTR-N-HA3?,Cabinet (amiibo Settings),"v7, (v1024 for TWN), v1031",,,,,,
00010202,00010202,00010202,00010202,00010202,00010202,,"Probably Mii-related, contains ""CFL_Res.dat"" in the RomFS.",v0,,,,,,
00010402,00010402,00010402,00010402,00010402,00010402,,"Region Manifest. Mounted as ""area:""","v0, v1024, v2050, v3072, v4098, v5122",,,,,,
00010602,00010602,00010602,00010602,00010602,00010602,,"Non-Nintendo TLS Root-CA Certificates (RomFS contains files with filename ""CACERT_PUBLIC_CA_<val>.der"", where <val> is 5..8)","v2, v1024",,,,,,
,,,00011002,,,,"""CHN/CN"" Dictionary.",v1,,,,,,
,,,,,00011102,,"""TWN/TN"" dictionary.",v1,,,,,,
,,00011202,,,,,"""NL/NL"" dictionary.",v0,,,,,,
,,00011302,,,,,"""EN/GB"" dictionary.",v0,,,,,,
,00011402,,,,,,"""EN/US"" dictionary.",v0,,,,,,
,,00011502,,,,,"""FR/FR/regular"" dictionary.",v0,,,,,,
,00011602,,,,,,"""FR/CA/regular"" dictionary.",v0,,,,,,
,,00011702,,,,,"""DE/regular"" dictionary.",v0,,,,,,
,,00011802,,,,,"""IT/IT"" dictionary.",v0,,,,,,
00011902,,,,,,,"""JA_small/32"" dictionary.",v0,,,,,,
,,,,00011A02,,,"""KO/KO"" dictionary.",v1,,,,,,
,,00011B02,,,,,"""PT/PT/regular"" dictionary.",v0,,,,,,
,,00011C02,,,,,"""RU/regular"" dictionary.",v0,,,,,,
,00011D02,00011D02,,,,,"""ES/ES"" dictionary.",v0,,,,,,
,00011E02,,,,,,"""PT/BR/regular"" dictionary.",v0,,,,,,
00012202,00012302,00012102,00012402,00012502,00012602,,?contains a lists with error strings,"v1026, v2053, v3073, v4096, v5120, v6149, v7168, v8192, v9218, v10242, v11269, v12289, v13312, v13313(JPN: v14336) (KOR: v6148, v7169, v8193, v9216, v10240)",,,,,,
00013202,00013302,00013102,00013502,,,,"Mounted as ""eula:""","v0, v1024, v2049 USA: v1024, v2051, v3074, v4100(EUR-only), v4099, v6144, v7168 (KOR: v1025)",,,,,,
00014002,00014002,00014002,00014002,00014002,00014002,,"JPN/EUR/USA System Font (""font:"")",v0,,,,,,
00014102,00014102,00014102,00014102,00014102,00014102,,"CHN System Font (""font:"")","v0, v1024",,,,,,
00014202,00014202,00014202,00014202,00014202,00014202,,"KOR System Font (""font:"")","v0, v1024",,,,,,
00014302,00014302,00014302,00014302,00014302,00014302,,"TWN System Font (""font:"")","v0, v1024",,,,,,
00015202,00015302,00015102,N/A,00015502,0015602,,"Mounted as ""rate:""","v0 (EUR: v0, v1024) (KOR: v1024)",,,,,,
0010302,00010302,00010302,00010302,00010302,00010302,NGWord bad word list,"v0, v1024, v2052, v3072, v4096, v5120, v6144, v7168, v8192, v9217",,,,,,,
00010502,00010502,00010502,00010502,00010502,00010502,Nintendo Zonehotspot list,"v0, v1024, v2048, v3073, v4096, v5120, v6144, v7169, v8192, v9216, v10242, v11267, v12288, v14336, v15360, v16386, v17409, v18432, v19457, v20480, v22528",,,,,,,
00016102,00016202,00016302,00016402,00016502,00016602,NVer,"v0, v16, v32, v48, v64, v80, v96, v112,  v128, v144, v160, v176, non-USA=v192/USA=v192, v208, v224, v240, v256, v272, v288, v304, v320, v336, v352, v368, v384, v400, v416, v432, v448, v464, v480, v496, v512, v528, v544, v560, v576, v608, ..., v672","v113, v128, v129, v130, v272, v131, v132","v114, v133, v134, v136, v144, v160v192, v272, v208, v224, v240, v272, v288, v304, v320, v336, v352, v368, v384, v400, v416, v432, v448, v464, v480, v496, ..., v544","v113, v114, v133, v134, v136, v160, v176, v176, v272, v224, v240, v256, v272, v288, v304, v320, v336, v352, v368, v384, v400, v416, v432, v448, v464, v480, v496, v512, ..., v576",,,,
20016102,20016202,20016302,N/A,20016502,N/A,New_3DSNVer,"v0, v320, v336, v352, v352, v368, v384, v400, v416, v432, v448, v464, v480, v496, v512, v528, v544, v560, v576, ..., v672",N/A,N/A,"v320, v336, v352, v368, v384, v400, v416, v432, v448, v464, v496, v512, ..., v576",,,,
00017102,00017202,00017302,00017402,00017502,00017602,CVer,"v1024, v1045, v2049, v2069, v2088 v3088, v4098, v4113, v4130, v4145, v4163, v4176, v5120, v5136, v6146, v6160, v6178, v6192, v7175, v7187, v7203, v8196, v8208, v8215(8.1.0-0_New3DS), v9218, v9232(JPN-only), v9248, v9264, v9280, v9296, v9319, v9328, v9344, v9360, v10240, v10256, v10272, v10288, v10304, v10320, v10336, v10352, v11264, v11280, v11296, v11312, ..., v11344, ..., v11408","v1024, v1045, v2049, v2069, v2088 v3088, v4098, v4113, v4130, v4145, v4163, v4176, v5120, v5136, v6146, v6160, v6178, v6192, v7175, v7187, v7203, v8196, v8208, v9217, v9264, v9296, v9319, v9328, v9344, v9360, v10240, v10272, v10304, v10320, v10336, v10352, v11296, v11312, ..., v11408",Same as CHN,Same as CHN + v11280,,,,
,00001002,,,,,,sm (Stored in NATIVE_FIRM),N/A,,,,,,
,00001003,,,,,,SAFE_MODE sm (Stored in SAFE_MODE NATIVE_FIRM),N/A,,,,,,
,00001102,,,,,,fs (Stored in NATIVE_FIRM),N/A,,,,,,
,00001103,,,,,,SAFE_MODE fs (Stored in SAFE_MODE NATIVE_FIRM),N/A,,,,,,
,00001202,,,,,,pm (Stored in NATIVE_FIRM),N/A,,,,,,
,00001203,,,,,,SAFE_MODE pm (Stored in SAFE_MODE NATIVE_FIRM),N/A,,,,,,
,00001302,,,,,,loader (Stored in NATIVE_FIRM),N/A,,,,,,
,00001303,,,,,,SAFE_MODE loader (Stored in SAFE_MODE NATIVE_FIRM),N/A,,,,,,
,00001402,,,,,,pxi (Stored in NATIVE_FIRM),N/A,,,,,,
,00001403,,,,,,SAFE_MODE pxi (Stored in SAFE_MODE NATIVE_FIRM),N/A,,,,,,
,00001502,,,,,,AM ( Application Manager ),"v0, v1026, v2053, v3072, v4098, v5120, v6148, v7168(8.1.0-0_New3DS), v8192, v9217",,,,,,
,00001503,,,,,,SAFE_MODE AM,v0,,,,,,
,20001503,,,,,,New_3DS SAFE_MODE AM,v7169,,,,,,
,00001602,,,,,,Camera,"v0, v1026, v2048, v3074, v4098, v5120, v6146, v7172, v9216, v10242, v11265",,,,,,
,20001602,,,,,,New_3DS Camera,"v8200, v9218, v10242, v11265, v12288(New2DSXL)",,,,,,
,00001702,,,,,,Config (cfg),"v0, v1024, v2049, v3072, v4096, v5122, v6145, v7168, v8196, v9220, v10243, v11265(8.1.0-0_New3DS), v12290, v13315, v14342, v15360(New2DSXL)v15360",,,,,,
,00001703,,,,,,SAFE_MODE Config (cfg),v0,,,,,,
,20001703,,,,,,New_3DS SAFE_MODE Config (cfg),v11265,,,,,,
,00001802,,,,,,Codec,"v0, v1025, v2048, v3072, v4098, v5120, v6144, v7168(Also for 8.1.0-0_New3DS)",,,,,,
,00001803,,,,,,SAFE_MODE Codec,v0,,,,,,
,20001803,,,,,,New_3DS SAFE_MODE Codec,v7169,,,,,,
,00001A02,,,,,,DSP,"v0, v1024, v2048, v3074, v4096, v5120, v6145, v7169",,,,,,
,00001A03,,,,,,SAFE_MODE DSP,v0,,,,,,
,20001A03,,,,,,New_3DS SAFE_MODE DSP,v6145,,,,,,
,00001B02,,,,,,GPIO,"v0, v1025, v2048, v3073",,,,,,
,00001B03,,,,,,SAFE_MODE GPIO,v0,,,,,,
,20001B03,,,,,,New_3DS SAFE_MODE GPIO,v3073,,,,,,
,00001C02,,,,,,GSP,"v0, v1040, v2049, v3075, v4098, v5120, v6145, v7168, v8196, v10240, v11264, v12294, v13312, v14336",,,,,,
,20001C02,,,,,,New_3DS GSP,"v10243, v11267, v12294, v13312, v14336(New2DSXL)",,,,,,
,00001C03,,,,,,SAFE_MODE GSP,v0,,,,,,
,20001C03,,,,,,New_3DS SAFE_MODE GSP,v9217,,,,,,
,00001D02,,,,,,HID (Human Interface Devices),"v0, v1025, v2048, v3072, v4096, v5121, v6148, v7168, v8192(8.1.0-0_New3DS), v9216, v10240",,,,,,
,00001D03,,,,,,SAFE_MODE HID,v0,,,,,,
,20001D03,,,,,,New_3DS SAFE_MODE HID,v8193,,,,,,
,00001E02,,,,,,i2c,"v0, v1024, v2049, v3076, v5120",,,,,,
,20001E02,,,,,,New_3DS i2c,"v4096, v5121",,,,,,
,00001E03,,,,,,SAFE_MODE i2c,v0,,,,,,
,20001E03,,,,,,New_3DS SAFE_MODE i2c,v4097,,,,,,
,00001F02,,,,,,MCU,"v0, v1026, v2048, v3072, v4102, v5122, v6145, v7168, v8192",,,,,,
,20001F02,,,,,,New_3DS MCU,"v8192, v9216(New2DSXL)",,,,,,
,00001F03,,,,,,SAFE_MODE MCU,v0,,,,,,
,20001F03,,,,,,New_3DS SAFE_MODE MCU,v9217,,,,,,
,00002002,,,,,,MIC (Microphone),"v0, v1025, v2048",,,,,,
,00002102,,,,,,PDN,"v0, v1025, v2048",,,,,,
,00002103,,,,,,SAFE_MODE PDN,v0,,,,,,
,20002103,,,,,,New_3DS SAFE_MODE PDN,v3073,,,,,,
,00002202,,,,,,"PTM (Play time, pedometer, and battery manager)","v0, v1026, v2048, v3075, v4096, v5120, v6146, v7168, v8192, v9219, v11264",,,,,,
,20002202,,,,,,"New_3DS PTM (Play time, pedometer, and battery manager)","v10240, v11264",,,,,,
,00002203,,,,,,SAFE_MODE PTM,v0,,,,,,
,20002203,,,,,,New_3DS SAFE_MODE PTM,v10241,,,,,,
,00002302,,,,,,spi,"v0, v1025, v2049, v3072",,,,,,
,20002302,,,,,,New_3DS spi,v4096,,,,,,
,00002303,,,,,,SAFE_MODE spi,v0,,,,,,
,20002303,,,,,,New_3DS SAFE_MODE spi,v4097,,,,,,
,00002402,,,,,,AC (Network manager),"v0, v1024, v2052, v3072, v4101, v5122, v6145, v7172, v8192(Also for 8.1.0-0_New3DS), v9216",,,,,,
,00002403,,,,,,SAFE_MODE AC,v0,,,,,,
,20002403,,,,,,New_3DS SAFE_MODE AC,v8193,,,,,,
,00002602,,,,,,Cecd (StreetPass),"v0, v1026, v2048, v3073, v4097, v5122, v6144, v7170, v8193, v9216, v10240",,,,,,
,00002702,,,,,,CSND,"v0, v1025, v2048, v3073, v4096, v5120",,,,,,
,00002703,,,,,,SAFE_MODE CSND,v0,,,,,,
,20002703,,,,,,New_3DS SAFE_MODE CSND,v5121,,,,,,
,00002802,,,,,,DLP (Download Play),"v0, v1026, v2048, v3078, v4099, v5123, v6145(Also for 8.1.0-0_New3DS), v7174, v8192",,,,,,
,00002902,,,,,,HTTP,"v0, v1026, v2049, v3072, v4099, v5122, v6145, v7171, v8192, v9220, v10245, v11264(8.1.0-0_New3DS), v12288, v13318, v14336",,,,,,
,00002903,,,,,,SAFE_MODE HTTP,v0,,,,,,
,20002903,,,,,,New_3DS SAFE_MODE HTTP,v10241,,,,,,
,00002A02,,,,,,MP,"v0, v1025, v2048",,,,,,
,00002A03,,,,,,SAFE_MODE MP,v0,,,,,,
,00002B02,,,,,,NDM,"v0, v1025, v2049, v3072, v4098, v5124, v6144(8.1.0-0_New3DS), v7169",,,,,,
,00002C02,,,,,,NIM,"v0, v1028, v2055, v3074, v4100, v5120, v6148, v7174, v8195, v9217(8.1.0-0_New3DS), v10249, v11267, v12296, v13313",,,,,,
,00002C03,,,,,,SAFE_MODE NIM,v0,,,,,,
,20002C03,,,,,,New_3DS SAFE_MODE NIM,v9217,,,,,,
,00002D02,,,,,,NWM ( Low-level wifi manager ),"v0, v1024, v2052, v3072, v4101, v5120, v6148, v7169, v8196, v9216, v10240",,,,,,
,00002D03,,,,,,SAFE_MODE NWM,"v0, v5120",,,,,,
,20002D03,,,,,,New_3DS SAFE_MODE NWM,v10241,,,,,,
,00002E02,,,,,,Sockets,"v0, v1024, v2053, v3075, v4096, v5121, v6144, v7168, v8192",,,,,,
,00002E03,,,,,,SAFE_MODE Sockets,v0,,,,,,
,20002E03,,,,,,New_3DS SAFE_MODE Sockets,v7169,,,,,,
,00002F02,,,,,,SSL,"v0, v1024, v2048, v3072, v4096, v5122, v6144, v7168, v8198",,,,,,
,00002F03,,,,,,SAFE_MODE SSL,v0,,,,,,
,20002F03,,,,,,New_3DS SAFE_MODE SSL,v7169,,,,,,
,00003000,,,,,,Process9 (in SAFE_MODE and normal NATIVE_FIRM),,,,,,,
,00003102,,,,,,PS ( Process Manager ),"v0, v1025, v2049, v3072, v4096, v5120",,,,,,
,00003103,,,,,,SAFE_MODE PS,v0,,,,,,
,20003103,,,,,,New_3DS SAFE_MODE PS,v5121,,,,,,
,00003202,,,,,,friends (Friends list),"v0, v1028, v2048, v3072, v4096, v5122, v6145, v7172, v8192(Also for 8.1.0-0_New3DS), v9216, v10240, v11264, v12288, v13312, v14336, v15360",,,,,,
,00003203,,,,,,SAFE_MODE friends (Friends list),v0,,,,,,
,20003203,,,,,,New_3DS SAFE_MODE friends (Friends list),v8193,,,,,,
,00003302,,,,,,IR (Infrared),"v0, v1026, v2048, v3072, v4096, v5121, v6148, v7170(8.1.0-0_New3DS), v8192, v9216, v10246, v11265, v12289",,,,,,
,00003303,,,,,,SAFE_MODE IR,v0,,,,,,
,20003303,,,,,,New_3DS SAFE_MODE IR,v7169,,,,,,
,00003402,,,,,,BOSS (SpotPass),"v0, v1024, v2053, v3073, v4101, v5122, v6146, v7169, v8193, v9222, v10240, v11266, v12289, v13314",,,,,,
,00003502,,,,,,News (Notifications),"v0, v1028, v2048, v3072, v4097, v5120, v6147, v7168",,,,,,
,00003702,,,,,,RO,"v0, v1024, v2049, v3074, v4096, v5120(Also for 8.1.0-0_New3DS), v6148",,,,,,
,00003802,,,,,,act (handles Nintendo Network accounts),"v1029, v2050, v3077, v4099, v5120(8.1.0-0_New3DS), v6144, v7168, v8198, v9216(New2DSXL), v9216",,,,,,
,00004002,,,,,,Old3DS nfc,"v2053, v4106, v5121, v6145, v7168, v8192",,,,,,
,20004002,,,,,,New_3DS nfc,"v0, v1024, v2053, v3073, v4102, v6145, v7168",,,,,,
,20004102,,,,,,New_3DS mvd,"v0, v1024",,,,,,
,20004202,,,,,,New_3DS qtm,"v8, v1024, v2052, v3072(New2DSXL)",,,,,,
,00008002,,,,,,"NS (Memory-region: ""SYSTEM"")","v0, v1028, v2048, v3077, v4096, v5121, v6148, v7168, v8193, v9216, v10248, v11268, v12291, v13312(8.1.0-0_New3DS), v14336, v15360, v16390, v17408, v18433, v19458, v20482, v21504",,,,,,
,00008003,,,,,,"SAFE_MODE NS (Memory-region: ""SYSTEM"")",v0,,,,,,
,20008003,,,,,,"New_3DS SAFE_MODE NS (Memory-region: ""SYSTEM"")",v13313,,,,,,
,00000001,,,,,,"Unknown, very similar to SAFE_MODE_FIRM. Exists only on dev units and seems to only be used by SystemUpdaters.",v0,,,,,,
